Core: DDR3AXI4_mem_if_ddr3_emif_0_p0 - Instance: topDesign|topMod|mig|island|blackbox|mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.422,0.543
"Bus Turnaround Time (Slow 1100mV 85C Model)",7.098,--
"Core (Slow 1100mV 85C Model)",-2.753,0.188
"Core Recovery/Removal (Slow 1100mV 85C Model)",-1.345,1.088
"DQS vs CK (Slow 1100mV 85C Model)",0.704,0.915
"Postamble (Slow 1100mV 85C Model)",0.83,0.83
"Read Capture (Slow 1100mV 85C Model)",0.356,0.309
"Write (Slow 1100mV 85C Model)",0.355,0.359
"Address Command (Slow 1100mV 0C Model)",0.506,0.48
"Bus Turnaround Time (Slow 1100mV 0C Model)",7.239,--
"Core (Slow 1100mV 0C Model)",-2.768,0.181
"Core Recovery/Removal (Slow 1100mV 0C Model)",-0.959,0.99
"DQS vs CK (Slow 1100mV 0C Model)",0.785,0.897
"Postamble (Slow 1100mV 0C Model)",0.815,0.815
"Read Capture (Slow 1100mV 0C Model)",0.368,0.32
"Write (Slow 1100mV 0C Model)",0.377,0.387
"Address Command (Fast 1100mV 85C Model)",1.004,0.687
"Bus Turnaround Time (Fast 1100mV 85C Model)",7.835,--
"Core (Fast 1100mV 85C Model)",1.773,0.143
"Core Recovery/Removal (Fast 1100mV 85C Model)",1.43,0.414
"DQS vs CK (Fast 1100mV 85C Model)",0.973,1.105
"Postamble (Fast 1100mV 85C Model)",1.013,1.013
"Read Capture (Fast 1100mV 85C Model)",0.57,0.523
"Write (Fast 1100mV 85C Model)",0.522,0.522
"Address Command (Fast 1100mV 0C Model)",0.992,0.71
"Bus Turnaround Time (Fast 1100mV 0C Model)",7.866,--
"Core (Fast 1100mV 0C Model)",1.797,0.114
"Core Recovery/Removal (Fast 1100mV 0C Model)",1.853,0.41
"DQS vs CK (Fast 1100mV 0C Model)",0.968,1.117
"Postamble (Fast 1100mV 0C Model)",1.032,1.032
"Read Capture (Fast 1100mV 0C Model)",0.573,0.526
"Write (Fast 1100mV 0C Model)",0.532,0.532
